source,target
infovis09--5290718,infovis02--1173156
infovis09--5290718,infovis07--4376155
infovis09--5290718,infovis04--1382904
infovis09--5290691,infovis04--1382907
infovis09--5290691,infovis06--4015421
infovis09--5290691,infovis07--4376143
infovis09--5290696,infovis03--1249024
infovis09--5290696,infovis08--4658123
infovis09--5290696,infovis01--963287
infovis09--5290696,infovis07--4376133
infovis09--5290696,infovis07--4376131
infovis09--5290696,infovis96--559216
infovis09--5290709,infovis04--1382900
infovis09--5290709,infovis01--963274
infovis09--5290709,infovis02--1173146
infovis09--5290709,infovis01--963291
infovis09--5290709,infovis07--4376149
infovis09--5290709,infovis04--1382891
infovis09--5290709,infovis95--528686
infovis09--5290721,infovis05--1532138
infovis09--5290721,infovis04--1382889
infovis09--5290721,infovis02--1173155
infovis09--5290716,infovis04--1382905
infovis09--5290716,infovis03--1249009
infovis09--5290716,infovis01--963279
infovis09--5290716,infovis08--4658138
infovis09--5290724,infovis08--4658140
infovis09--5290724,infovis08--4658142
infovis09--5290724,infovis08--4658127
infovis09--5290724,infovis00--885091
infovis09--5290724,infovis04--1382909
infovis09--5290724,infovis08--4658133
infovis10--179,infovis08--4658129
infovis10--179,infovis07--4376146
infovis10--179,infovis07--4376131
infovis10--194,infovis09--5290722
infovis10--194,infovis05--1532122
infovis10--194,infovis07--4376132
infovis10--129,infovis08--4658136
infovis10--129,infovis08--4658131
infovis10--129,infovis05--1532133
infovis10--129,infovis03--1249028
infovis10--129,infovis07--4376134
infovis10--162,infovis08--4658136
infovis10--162,infovis07--4376143
infovis10--162,infovis07--4376151
infovis10--162,infovis08--4658146
infovis10--162,infovis05--1532144
infovis10--162,infovis99--801851
infovis10--177,infovis09--5290700
infovis10--177,infovis01--963289
infovis10--177,infovis08--4658124
infovis10--177,infovis08--4658127
infovis10--177,infovis09--5290708
infovis10--177,infovis08--4658147
infovis10--177,infovis09--5290711
infovis10--177,infovis07--4376144
infovis10--177,infovis08--4658138
infovis10--164,infovis05--1532136
infovis10--164,infovis00--885092
infovis10--164,infovis98--729560
infovis10--164,infovis07--4376143
infovis10--164,infovis06--4015420
infovis10--164,infovis08--4658129
infovis10--164,infovis01--963289
infovis10--164,infovis08--4658124
infovis10--164,infovis07--4376133
infovis10--164,infovis07--4376134
infovis10--164,infovis07--4376131
infovis10--164,infovis07--4376144
infovis10--205,infovis03--1249011
infovis10--205,infovis06--4015436
infovis10--205,infovis04--1382901
infovis10--205,infovis07--4376140
infovis10--205,infovis08--4658123
infovis10--205,infovis05--1532141
infovis10--205,infovis09--5290697
infovis10--205,infovis05--1532142
infovis10--205,infovis09--5290705
infovis10--184,infovis05--1532136
infovis10--184,infovis98--729559
infovis10--184,infovis06--4015422
infovis10--184,infovis97--636793
infovis10--184,infovis05--1532142
infovis10--154,infovis09--5290725
infovis10--154,infovis06--4015423
infovis10--154,infovis08--4658140
infovis10--154,infovis00--885098
infovis10--154,infovis05--1532126
infovis10--154,infovis06--4015425
infovis10--154,infovis06--4015419
infovis10--154,infovis06--4015432
infovis10--154,infovis09--5290723
infovis10--154,infovis09--5290699
